Issue Type,Summary,Epic Name,Epic Link,Description,Priority MoSCoW,Fuente del requisito,CU asociado,Labels
Epic,Gestion de Proveedores y Recepcion de Lotes,Gestion de Proveedores y Recepcion de Lotes,,Agrupa RF-01 RF-02 RF-03 RF-17 RF-26,,,,
Epic,Procesamiento Pesaje y Camara Frigorifica,Procesamiento Pesaje y Camara Frigorifica,,Agrupa RF-04 RF-05 RF-06 RF-07 RF-08 RF-24,,,,
Epic,Ventas Inventario y Bajas,Ventas Inventario y Bajas,,Agrupa RF-09 RF-10 RF-12 RF-16 RF-22,,,,
Epic,Precios y Configuracion Comercial,Precios y Configuracion Comercial,,Agrupa RF-18 RF-19,,,,
Epic,Trazabilidad y Auditoria,Trazabilidad y Auditoria,,Agrupa RF-11 RF-23 RF-25,,,,
Epic,Administracion Reportes y Contingencia,Administracion Reportes y Contingencia,,Agrupa RF-13 RF-14 RF-15 RF-20 RF-21,,,,
Story,RF-01 - Registrar proveedor,,Gestion de Proveedores y Recepcion de Lotes,"El sistema debera permitir registrar un proveedor de animales o derivados carnicos, almacenando su RUC, nombre y estado de regularizacion ante el SRI.",Must,Propietaria,Huerfano,stakeholder-propietaria huerfano-cu
Story,RF-02 - Registrar guia de origen,,Gestion de Proveedores y Recepcion de Lotes,"El sistema debera permitir registrar la guia de origen entregada por el proveedor, incluyendo numero de guia, cantidad de canales y confirmacion de firma del medico veterinario de planta.",Must,Propietaria,CU-02,stakeholder-propietaria cu-02
Story,RF-03 - Registrar ingreso de lote o animal,,Gestion de Proveedores y Recepcion de Lotes,"El sistema debera permitir registrar el ingreso de un lote (aves) o de animales individuales (cerdo, res) identificados por numero de arete, incluyendo fecha, cantidad y tipo de producto.",Must,Propietaria,CU-01,stakeholder-propietaria cu-01
Story,RF-17 - Registrar georreferencia de proveedor/granja,,Gestion de Proveedores y Recepcion de Lotes,El sistema debera permitir asociar coordenadas geograficas aproximadas al proveedor o granja.,Should,Administrador general (2a ronda),Huerfano,stakeholder-administrador huerfano-cu
Story,RF-26 - Registrar y consultar guia de movilizacion,,Gestion de Proveedores y Recepcion de Lotes,"El sistema debera permitir registrar y consultar la guia de movilizacion asociada a un lote o animal, como documento distinto de la guia de origen (RF-02).",Should,Glosario/Alcance ERS via RFC-01 (CCB),Huerfano,stakeholder-propietaria huerfano-cu rfc-01
Story,RF-04 - Registrar pesaje de producto,,Procesamiento Pesaje y Camara Frigorifica,El sistema debera permitir registrar el peso en libras de un producto y calcular automaticamente el costo total.,Must,Propietaria,CU-03,stakeholder-propietaria cu-03
Story,RF-05 - Emitir comprobante de pesaje,,Procesamiento Pesaje y Camara Frigorifica,"El sistema debera generar un comprobante (ticket) con peso, precio y datos del lote.",Should,Propietaria,CU-03,stakeholder-propietaria cu-03
Story,RF-06 - Registrar despiece y clasificacion de cortes,,Procesamiento Pesaje y Camara Frigorifica,El sistema debera permitir registrar el despiece y la clasificacion de cortes por parte.,Must,Propietaria,CU-04 CU-05,stakeholder-propietaria cu-04 cu-05
